edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
136,20538.0,892.0,MA5CTTPE8,10
514,20046.0,321.0,MA5CTTPE8,10
515,20046.0,321.0,MA5CTTPE8,10
516,20046.0,102.0,MA5CTTPE8,10
519,20046.0,358.0,MA5CTTPE8,10
521,20046.0,358.0,MA5CTTPE8,10
599,20046.0,560.0,MA5CTTPE8,10
1518,20213.0,980.0,MA5CTTPE8,10
1536,21257.0,921.0,MA5CTTPE8,10
1538,21257.0,818.0,MA5CTTPE8,10
1539,21257.0,951.0,MA5CTTPE8,10
1540,21257.0,921.0,MA5CTTPE8,10
1541,21257.0,725.0,MA5CTTPE8,10
1542,21257.0,951.0,MA5CTTPE8,10
1544,21257.0,528.0,MA5CTTPE8,10
1879,20727.0,877.0,MA59G0765,10
1882,20727.0,407.0,MA59G0765,10
1888,20727.0,407.0,MA59G0765,10
1889,20727.0,158.0,MA59G0765,10
1890,20727.0,281.0,MA59G0765,10
1893,20727.0,158.0,MA59G0765,10
1894,20727.0,297.0,MA59G0765,10
1897,20727.0,448.0,MA59G0765,10
1903,20727.0,448.0,MA59G0765,10
1904,20673.0,428.0,MA5CTTPE8,10
1907,20727.0,868.0,MA59G0765,10
1908,20673.0,643.0,MA5CTTPE8,10
1909,20673.0,643.0,MA5CTTPE8,10
1912,20727.0,868.0,MA59G0765,10
1915,20978.0,551.0,MA5CTTPE8,10
1917,20978.0,551.0,MA5CTTPE8,10
1930,20974.0,445.0,MA5CTTPE8,10
2039,20974.0,445.0,MA5CTTPE8,10
2152,20728.0,459.0,MA59G0765,10
2153,20728.0,323.0,MA59G0765,10
2155,20728.0,459.0,MA59G0765,10
2160,20728.0,459.0,MA59G0765,10
2164,20728.0,860.0,MA59G0765,10
2246,20728.0,860.0,MA59G0765,10
2247,21368.0,327.0,MA5CTTPE8,10
2250,21368.0,576.0,MA5CTTPE8,10
2251,21368.0,915.0,MA5CTTPE8,10
2252,21368.0,479.0,MA5CTTPE8,10
2254,21368.0,750.0,MA5CTTPE8,10
2255,21368.0,616.0,MA5CTTPE8,10
2257,21368.0,616.0,MA5CTTPE8,10
2258,21368.0,670.0,MA5CTTPE8,10
2260,21278.0,775.0,MA5CTTPE8,10
2261,21368.0,915.0,MA5CTTPE8,10
2262,21368.0,883.0,MA5CTTPE8,10
2263,21368.0,787.0,MA5CTTPE8,10
2264,21368.0,616.0,MA5CTTPE8,10
2265,21368.0,785.0,MA5CTTPE8,10
2266,21368.0,670.0,MA5CTTPE8,10
2268,21368.0,987.0,MA5CTTPE8,10
2270,21278.0,932.0,MA5CTTPE8,10
2271,21368.0,987.0,MA5CTTPE8,10
2272,21368.0,883.0,MA5CTTPE8,10
2273,21368.0,787.0,MA5CTTPE8,10
2274,21368.0,911.0,MA5CTTPE8,10
2275,21368.0,785.0,MA5CTTPE8,10
2276,21368.0,987.0,MA5CTTPE8,10
2279,21368.0,911.0,MA5CTTPE8,10
2281,21368.0,934.0,MA5CTTPE8,10
2293,20712.0,363.0,MA5CTTPE8,10
2300,20712.0,363.0,MA5CTTPE8,10
2302,20712.0,956.0,MA5CTTPE8,10
2303,20712.0,956.0,MA5CTTPE8,10
2311,20712.0,244.0,MA5CTTPE8,10
2313,20750.0,965.0,MA59G0765,10
2316,20710.0,55.0,MA5CTTPE8,10
2317,20710.0,733.0,MA5CTTPE8,10
2318,20710.0,230.0,MA5CTTPE8,10
2321,20748.0,868.0,MA59G0765,10
2322,20748.0,868.0,MA59G0765,10
2323,20710.0,733.0,MA5CTTPE8,10
2324,20710.0,920.0,MA5CTTPE8,10
2325,20710.0,920.0,MA5CTTPE8,10
2326,20710.0,330.0,MA5CTTPE8,10
2327,20710.0,330.0,MA5CTTPE8,10
2329,20750.0,881.0,MA59G0765,10
2330,20748.0,979.0,MA59G0765,10
2331,20748.0,979.0,MA59G0765,10
2334,20750.0,881.0,MA59G0765,10
2335,20750.0,766.0,MA59G0765,10
2339,20710.0,920.0,MA5CTTPE8,10
2341,20750.0,881.0,MA59G0765,10
2342,20750.0,766.0,MA59G0765,10
2347,20710.0,588.0,MA5CTTPE8,10
2348,20750.0,792.0,MA59G0765,10
2350,20750.0,920.0,MA59G0765,10
2352,20710.0,588.0,MA5CTTPE8,10
2357,20750.0,618.0,MA59G0765,10
2358,20750.0,618.0,MA59G0765,10
2367,20710.0,899.0,MA5CTTPE8,10
2370,20750.0,428.0,MA59G0765,10
2377,20750.0,267.0,MA59G0765,10
2383,20750.0,792.0,MA59G0765,10
2385,20750.0,920.0,MA59G0765,10
2390,20750.0,866.0,MA59G0765,10
2392,20750.0,953.0,MA59G0765,10
2567,20132.0,877.0,MA59G0765,10
2570,20132.0,918.0,MA59G0765,10
2571,20132.0,627.0,MA59G0765,10
2572,20132.0,918.0,MA59G0765,10
